[  285536ms] [INFO] [Status] محطة وقود المقرحي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود الضبيع | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود الشرارة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة المشاط | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود غير مسماة - node/8014161288 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود المبدع | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Home] total stations loaded: 114, rendered station count: 22, best station found: yes @ http://localhost:5173/app.js:382
[  305535ms] [INFO] [Repository] Presence fetch succeeded. Active rows: 0. @ http://localhost:5173/repository.mjs:186
[  305535ms] [INFO] [Status] محطة وقود الهاني | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305535ms] [INFO] [Status] مستودع الغاز الهاني | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  305536ms] [INFO] [Status] Oilibya | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
